element@TransactionID	category@Cigarettes/tobacco	category@National newspapers	category@Own label milk	category@Paypoint	category@Soft Drinks Chiller	category@Bread	category@Lottery Draws
transaction_1	1	0	0	0	0	0	0
transaction_2	1	0	0	0	0	0	0
transaction_3	1	0	0	0	0	0	0
transaction_4	1	0	0	0	0	0	0
transaction_5	1	0	0	0	0	0	0
transaction_6	1	0	0	0	0	0	0
transaction_7	1	0	0	0	0	0	0
transaction_8	1	0	0	0	0	0	0
transaction_9	1	0	0	0	0	0	0
transaction_10	1	0	0	0	0	0	0
transaction_11	1	0	0	0	0	0	0
transaction_12	1	0	0	0	0	0	0
transaction_13	1	0	0	0	0	0	0
transaction_14	1	0	0	0	0	0	0
transaction_15	1	0	0	0	0	0	0
transaction_16	1	0	0	0	0	0	0
transaction_17	1	0	0	0	0	0	0
transaction_18	1	0	0	0	0	0	0
transaction_19	1	0	0	0	0	0	0
transaction_20	1	0	0	0	0	0	0
transaction_21	0	1	0	0	0	0	0
transaction_22	0	1	0	0	0	0	0
transaction_23	0	1	0	0	0	0	0
transaction_24	0	1	0	0	0	0	0
transaction_25	0	1	0	0	0	0	0
transaction_26	0	1	0	0	0	0	0
transaction_27	0	1	0	0	0	0	0
transaction_28	0	1	0	0	0	0	0
transaction_29	0	1	0	0	0	0	0
transaction_30	0	1	0	0	0	0	0
transaction_31	0	0	1	0	0	0	0
transaction_32	0	0	1	0	0	0	0
transaction_33	0	0	1	0	0	0	0
transaction_34	0	0	1	0	0	0	0
transaction_35	0	0	1	0	0	0	0
transaction_36	0	0	1	0	0	0	0
transaction_37	0	0	1	0	0	0	0
transaction_38	0	0	1	0	0	0	0
transaction_39	0	0	0	1	0	0	0
transaction_40	0	0	0	1	0	0	0
transaction_41	0	0	0	1	0	0	0
transaction_42	0	0	0	1	0	0	0
transaction_43	0	0	0	1	0	0	0
transaction_44	0	0	0	1	0	0	0
transaction_45	0	0	0	0	1	0	0
transaction_46	0	0	0	0	1	0	0
transaction_47	0	0	0	0	1	0	0
transaction_48	0	0	0	0	1	0	0
transaction_49	0	0	0	0	1	0	0
transaction_50	0	0	0	0	1	0	0
transaction_51	1	0	0	0	1	0	0
transaction_52	1	0	0	0	1	0	0
transaction_53	1	0	0	0	1	0	0
transaction_54	1	0	0	0	1	0	0
transaction_55	1	0	0	0	1	0	0
transaction_56	1	0	0	0	1	0	0
transaction_57	1	0	0	0	1	0	0
transaction_58	1	0	0	0	1	0	0
transaction_59	1	0	0	0	1	0	0
transaction_60	1	0	0	0	1	0	0
transaction_61	0	0	1	0	0	1	0
transaction_62	0	0	1	0	0	1	0
transaction_63	0	0	1	0	0	1	0
transaction_64	0	0	1	0	0	1	0
transaction_65	0	0	1	0	0	1	0
transaction_66	0	0	1	0	0	1	0
transaction_67	0	0	1	0	0	1	0
transaction_68	0	0	1	0	0	1	0
transaction_69	0	1	1	0	0	0	0
transaction_70	0	1	1	0	0	0	0
transaction_71	0	1	1	0	0	0	0
transaction_72	0	1	1	0	0	0	0
transaction_73	0	1	1	0	0	0	0
transaction_74	0	1	1	0	0	0	0
transaction_75	0	1	0	0	0	0	1
transaction_76	0	1	0	0	0	0	1
transaction_77	0	1	0	0	0	0	1
transaction_78	0	1	0	0	0	0	1
transaction_79	1	1	0	0	0	0	0
transaction_80	1	1	0	0	0	0	0
